record_id,source_id,smiles,inchi,inchikey,status,errors,MolWt,ExactMolWt,LogP,TPSA,HBD,HBA,NumRotatableBonds,RingCount,NumAromaticRings,FractionCSP3,HeavyAtomCount,QED,lipinski_pass,lipinski_violations,pains_pass,pains_violations,pains_violation_details,molecule_chembl_id,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,confidence_score,n_measurements,pIC50,activity_class,activity_label,lipinski_violation_details
e5745591,,Nc1nc(-c2ccccc2)nc2c1[n+]([O-])c1ccccc1[n+]2[O-],,,raw,,305.297,305.09127459200005,1.2989999999999997,105.67999999999999,1,5,1,4,4,0.0,23,0.3239670522318874,True,0,False,1,PAINS match: het_pyridiniums_A(39),CHEMBL443221,1600.0,nM,=,5.8,CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,0.8,1,5.7959,0,inactive,
f5f2bc8c,,Cc1cc(Cl)cc(C(=O)Nc2cc(S(=O)(=O)c3ccc(Cl)cc3)ccc2Cl)c1O,,,raw,,470.7610000000002,468.970911968,5.7459200000000035,83.47,2,4,4,3,3,0.05,29,0.5086739176411135,True,1,True,0,,CHEMBL334590,3300.0,nM,=,5.48,CHEMBL651293,Inhibitory activity against Bcl-2,0.8,1,5.4815,0,inactive,LogP=5.75 > 5.0
8c6b0a03,,COc1ccc2c(c1)CCc1cc(OC)ccc1/[N+]([O-])=[N+]\2[O-],,,raw,,300.314,300.111006992,3.238400000000002,70.6,0,4,2,3,2,0.25,22,0.6303046821639888,True,0,True,0,,CHEMBL344184,7200.0,nM,=,4.98,CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,0.8,2,5.1427,0,inactive,
bffbca0f,,N=C(N)c1ccc(/N=N/c2c(O)ccc3c2[nH]c2ccccc23)cc1,,,raw,,329.36300000000006,329.1276601,4.726170000000002,110.61000000000001,4,4,3,4,4,0.0,25,0.24745028511097808,True,0,False,1,PAINS match: azo_A(324),CHEMBL540363,5800.0,nM,=,5.24,CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,0.8,1,5.2366,0,inactive,
e69e7549,,CCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,,,raw,,520.5790000000003,520.2420807319999,2.7001999999999997,157.32999999999998,3,9,10,2,1,0.5769230769230769,37,0.1825319394938917,True,1,True,0,,CHEMBL436605,2000.0,nM,=,5.7,CHEMBL651293,Inhibitory activity against Bcl-2,0.8,1,5.699,0,inactive,MW=520.6 > 500.0
2ed1767d,,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,,,raw,,3117.507999999991,3115.541020520002,-13.96060000000009,1386.2999999999993,46,42,106,5,5,0.5474452554744526,220,0.009762944628531665,False,3,True,0,,CHEMBL411747,300.0,nM,=,6.52,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,6.5229,1,active,MW=3117.5 > 500.0; HBD=46 > 5; HBA=42 > 10
109f1b31,,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,,,raw,,2584.8659999999954,2583.24008752,-12.426099999999975,1194.5499999999997,39,35,87,4,4,0.5405405405405406,182,0.011086216180902685,False,3,True,0,,CHEMBL269555,5600.0,nM,=,5.25,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,5.2518,0,inactive,MW=2584.9 > 500.0; HBD=39 > 5; HBA=35 > 10
a84f6b07,,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,,,raw,,3160.5369999999916,3158.5580675520023,-15.953100000000118,1450.6999999999991,48,43,108,5,5,0.5401459854014599,223,0.009762943188062985,False,3,True,0,,CHEMBL437858,49.0,nM,=,7.31,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,7.3098,1,active,MW=3160.5 > 500.0; HBD=48 > 5; HBA=43 > 10
ba4bf32d,,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,,,raw,,3001.384999999992,2999.5035723920014,-14.35590000000009,1344.4899999999996,44,41,104,3,3,0.5846153846153846,211,0.014173250304649537,False,3,True,0,,CHEMBL409227,410.0,nM,=,6.39,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,6.3872,1,active,MW=3001.4 > 500.0; HBD=44 > 5; HBA=41 > 10
315db9cf,,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,,,raw,,3101.5089999999914,3099.5461059000017,-12.933000000000087,1366.0699999999993,45,41,105,5,5,0.5474452554744526,219,0.009762948559693037,False,3,True,0,,CHEMBL427653,800.0,nM,=,6.1,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,6.0969,1,active,MW=3101.5 > 500.0; HBD=45 > 5; HBA=41 > 10
